series;frame_idx;beetle_idx;stage
seria_2;70;3;stage1
seria_2;71;3;stage1
seria_2;72;3;stage1
seria_2;73;3;stage1
seria_2;74;4;stage1
seria_2;75;2;stage1
seria_2;76;3;stage1
seria_2;77;5;stage1
seria_2;80;5;stage1
seria_2;87;11;stage1
seria_2;88;5;stage1
seria_2;89;12;stage1
seria_2;90;11;stage1
seria_2;91;10;stage1
seria_2;92;10;stage1
seria_2;99;14;stage1
seria_2;102;13;stage1
seria_2;103;16;stage1
seria_2;104;16;stage1
seria_2;107;7;stage1
seria_2;116;6;stage1
seria_2;123;1;stage1
seria_2;21;6;stage1
seria_2;36;8;stage1
seria_2;37;8;stage1
seria_2;38;7;stage1
seria_2;39;8;stage1
seria_2;40;7;stage1
seria_2;41;6;stage1
seria_2;42;6;stage1
seria_2;43;6;stage1
seria_2;44;6;stage1
seria_2;45;7;stage1
seria_2;46;7;stage1
seria_2;47;7;stage1
seria_2;48;6;stage1
seria_2;49;6;stage1
seria_2;50;6;stage1
seria_2;81;7;stage1
seria_2;82;8;stage1
seria_2;95;1;stage1
seria_2;97;6;stage1
seria_2;100;5;stage1
seria_2;101;6;stage1
seria_2;102;5;stage1
seria_2;103;5;stage1
seria_2;104;7;stage1
seria_2;108;12;stage1
seria_2;117;13;stage1
seria_2;121;1;stage1
seria_2;122;15;stage1
seria_2;13;11;stage1
seria_2;37;6;stage1
seria_2;48;14;stage1
seria_2;50;10;stage1
seria_2;101;14;stage1
seria_2;105;3;stage1
seria_2;106;3;stage1
seria_2;107;1;stage1
seria_2;108;1;stage1
seria_2;109;1;stage1
seria_2;110;1;stage1
seria_2;111;1;stage1
seria_2;112;1;stage1
seria_2;17;8;stage1
seria_2;18;6;stage1
seria_2;19;7;stage1
seria_2;47;16;stage1
seria_2;52;17;stage1
seria_2;56;8;stage1
seria_2;63;9;stage1
seria_2;72;10;stage1
seria_2;75;9;stage1
seria_2;76;7;stage1
seria_2;76;9;stage1
seria_2;78;1;stage1
seria_2;88;1;stage1
seria_2;106;12;stage1
seria_2;106;2;stage1
seria_2;9;2;stage1
seria_2;15;2;stage1
seria_2;37;19;stage1
seria_2;46;9;stage1
seria_2;47;8;stage1
seria_2;48;7;stage1
seria_2;49;7;stage1
seria_2;50;7;stage1
seria_2;51;10;stage1
seria_2;52;9;stage1
seria_2;53;8;stage1
seria_2;57;16;stage1
seria_2;64;16;stage1
seria_2;74;15;stage1
seria_2;85;13;stage1
seria_2;123;3;stage1
seria_2;39;6;stage1
seria_2;40;6;stage1
seria_2;41;5;stage1
seria_2;42;5;stage1
seria_2;43;5;stage1
seria_2;55;10;stage1
seria_2;60;2;stage1
seria_2;63;2;stage1
seria_2;64;2;stage1
seria_2;66;2;stage1
seria_2;67;2;stage1
seria_2;71;2;stage1
seria_2;77;3;stage1
seria_2;78;3;stage1
seria_2;79;2;stage1
seria_2;80;4;stage1
seria_2;81;3;stage1
seria_2;84;4;stage1
seria_2;85;3;stage1
seria_2;86;3;stage1
seria_2;89;4;stage1
seria_2;91;3;stage1
seria_2;93;3;stage1
seria_2;104;2;stage1
seria_2;118;2;stage1
seria_2;121;5;stage1
seria_2;122;4;stage1
seria_3;158;6;stage1
seria_3;160;7;stage1
seria_3;2;15;stage1
seria_3;42;7;stage1
seria_3;67;10;stage1
seria_3;95;12;stage1
